"UNIVERSIDADE DE PASSO FUNDO", "UPF", "RS", "FALSE", ""
"UNIVERSIDADE DE FORTALEZA", "UNIFOR", "CE", "FALSE", ""
"UNIVERSIDADE COMUNITÁRIA REGIONAL DE CHAPECÓ", "UNOCHAPECÓ", "SC", "FALSE", ""
"UNIVERSIDADE NORTE DO PARANÁ", "UNOPAR", "PR", "FALSE", ""
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS", "PUC-Campinas", "SP", "FALSE", ""
"UNIVERSIDADE FEDERAL DO MARANHÃO", "UFMA", "MA", "FALSE", ""
"UNIVERSIDADE REGIONAL DE BLUMENAU", "FURB", "SC", "FALSE", ""
"UNIVERSIDADE FEDERAL DE RORAIMA", "UFRR", "RR", "FALSE", ""
"UNIVERSIDADE SALVADOR", "UNIFACS", "BA", "FALSE", ""
"UNIVERSIDADE SÃO JUDAS TADEU", "USJT", "SP", "FALSE", ""
"UNIVERSIDADE DO VALE DO PARAÍBA", "UNIVAP", "SP", "FALSE", ""
"UNIVERSIDADE FUMEC", "FUMEC", "MG", "FALSE", ""
"UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL", "UEMS", "MS", "FALSE", ""
"UNIVERSIDADE FEDERAL DE ALAGOAS", "UFAL", "AL", "FALSE", ""
"UNIVERSIDADE CATÓLICA DE PERNAMBUCO", "UNICAP", "PE", "FALSE", ""
"UNIVERSIDADE CATÓLICA DOM BOSCO", "UCDB", "MS", "FALSE", ""
"UNIVERSIDADE CATÓLICA DE PELOTAS", "UCPEL", "RS", "FALSE", ""
"UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES", "URI", "RS", "FALSE", ""
"UNIVERSIDADE FEDERAL DE SERGIPE", "UFS", "SE", "FALSE", ""
"UNIVERSIDADE DE RIBEIRÃO PRETO", "UNAERP", "SP", "FALSE", ""
"UNIVERSIDADE METODISTA DE PIRACICABA", "UNIMEP", "SP", "FALSE", ""
"UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA", "UESB", "BA", "FALSE", ""
"UNIVERSIDADE DE MARÍLIA", "UNIMAR", "SP", "FALSE", ""
"UNIVERSIDADE METROPOLITANA DE SANTOS", "UNIMES", "SP", "FALSE", ""
"UNIVERSIDADE DO ESTADO DA BAHIA", "UNEB", "BA", "FALSE", ""
"UNIVERSIDADE POTIGUAR", "UnP", "RN", "FALSE", ""
"UNIVERSIDADE VEIGA DE ALMEIDA", "UVA", "RJ", "FALSE", ""
"UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY", "UNIGRANRIO", "RJ", "FALSE", ""
"UNIVERSIDADE CATÓLICA DE PETRÓPOLIS", "UCP", "RJ", "FALSE", ""
"UNIVERSIDADE FEDERAL DO PARÁ", "UFPA", "PA", "FALSE", ""
"UNIVERSIDADE DO OESTE DE SANTA CATARINA", "UNOESC", "SC", "FALSE", ""
"UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE", "UERN", "RN", "FALSE", ""
"UNIVERSIDADE ESTADUAL DO CEARÁ", "UECE", "CE", "FALSE", ""
"UNIVERSIDADE ESTADUAL DA PARAÍBA", "UEPB", "PB", "FALSE", ""
"UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL", "USCS", "SP", "FALSE", ""
"UNIVERSIDADE DE TAUBATÉ", "UNITAU", "SP", "FALSE", ""
"UNIVERSIDADE DO SUL DE SANTA CATARINA", "UNISUL", "SC", "FALSE", ""
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS", "UFT", "TO", "FALSE", ""
"UNIVERSIDADE DE ITAÚNA", "UI", "MG", "FALSE", ""
"UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA", "UFRA", "PA", "FALSE", ""
"UNIVERSIDADE DO OESTE PAULISTA", "UNOESTE", "SP", "FALSE", ""
"UNIVERSIDADE CATÓLICA DE GOIÁS", "UCG", "GO", "FALSE", ""
"UNIVERSIDADE DO SAGRADO CORAÇÃO", "USC", "SP", "FALSE", ""
"UNIVERSIDADE SÃO FRANCISCO", "USF", "SP", "FALSE", ""
"UNIVERSIDADE PARA O DESENVOLVIMENTO DO ESTADO E DA REGIÃO DO PANTANAL", "UNIDERP", "MS", "FALSE", ""
"UNIVERSIDADE CÂNDIDO MENDES", "UCAM", "RJ", "FALSE", ""
"UNIVERSIDADE DE SOROCABA", "UNISO", "SP", "FALSE", ""
"UNIVERSIDADE DO EXTREMO SUL CATARINENSE", "UNESC", "SC", "FALSE", ""
"UNIVERSIDADE DO PLANALTO CATARINENSE", "UNIPLAC", "SC", "FALSE", ""
"UNIVERSIDADE NOVE DE JULHO", "UNINOVE", "SP", "FALSE", ""
"UNIVERSIDADE DE FRANCA", "UNIFRAN", "SP", "FALSE", ""
"UNIVERSIDADE TUIUTI DO PARANÁ", "UTP", "PR", "FALSE", ""
"UNIVERSIDADE CATÓLICA DE SANTOS", "UNISANTOS", "SP", "FALSE", ""
"UNIVERSIDADE DO VALE DO SAPUCAÍ", "UNIVÁS", "MG", "FALSE", ""
"UNIVERSIDADE DO ESTADO DE MATO GROSSO", "UNEMAT", "MT", "FALSE", ""
"UNIVERSIDADE ANHEMBI MORUMBI", "UAM", "SP", "FALSE", ""
"UNIVERSIDADE CATÓLICA DO SALVADOR", "UCSAL", "BA", "FALSE", ""
"UNIVERSIDADE PARANAENSE", "UNIPAR", "PR", "FALSE", ""
"UNIVERSIDADE SÃO MARCOS", "USM", "SP", "FALSE", ""
"UNIVERSIDADE DE MOGI DAS CRUZES", "UMC", "SP", "FALSE", ""
"UNIVERSIDADE BRAZ CUBAS", "UBC", "SP", "FALSE", ""
"UNIVERSIDADE SANTA CECÍLIA", "UNISANTA", "SP", "FALSE", ""
"UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA", "UEFS", "BA", "FALSE", ""
"UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ", "UVA", "CE", "FALSE", ""
"UNIVERSIDADE VALE DO RIO VERDE", "UNINCOR", "MG", "FALSE", ""
"UNIVERSIDADE CIDADE DE SÃO PAULO", "SP", "Privada", "FALSE", ""
"UNIVERSIDADE REGIONAL DO CARIRI", "URCA", "CE", "FALSE", ""
"UNIVERSIDADE GAMA FILHO", "UGF", "RJ", "FALSE", ""
"UNIVERSIDADE DO ESTADO DO PARÁ", "UEPA", "PA", "FALSE", ""
"UNIVERSIDADE ESTÁCIO DE SÁ", "UNESA", "RJ", "FALSE", ""
"UNIVERSIDADE DE PERNAMBUCO", "UPE", "PE", "FALSE", ""
"UNIVERSIDADE CRUZEIRO DO SUL", "UNICSUL", "SP", "FALSE", ""
"UNIVERSIDADE ESTADUAL DO MARANHÃO", "UEMA", "MA", "FALSE", ""
"UNIVERSIDADE CASTELO BRANCO", "UCB", "RJ", "FALSE", ""
"UNIVERSIDADE DA REGIÃO DA CAMPANHA", "URCAMP", "RS", "FALSE", ""
"UNIVERSIDADE DE CRUZ ALTA", "UNICRUZ", "RS", "FALSE", ""
"UNIVERSIDADE SEVERINO SOMBRA", "USS", "RJ", "FALSE", ""
"UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO", "UNIFENAS", "MG", "FALSE", ""
"UNIVERSIDADE SALGADO DE OLIVEIRA", "UNIVERSO", "MG", "FALSE", ""
"UNIVERSIDADE DE UBERABA", "UNIUBE", "MG", "FALSE", ""
"UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS", "UNIPAC", "MG", "FALSE", ""
"UNIVERSIDADE PAULISTA", "UNIP", "DF", "FALSE", ""
"UNIVERSIDADE DE SANTO AMARO", "UNISA", "SP", "FALSE", ""
"UNIVERSIDADE FEDERAL DO AMAPÁ", "UNIFAP", "AP", "FALSE", ""
"UNIVERSIDADE DO CONTESTADO", "UnC", "SC", "FALSE", ""
"UNIVERSIDADE TIRADENTES", "UNIT", "SE", "FALSE", ""
"UNIVERSIDADE VALE DO RIO DOCE", "UNIVALE", "MG", "FALSE", ""
"UNIVERSIDADE CAMILO CASTELO BRANCO", "UNICASTELO", "SP", "FALSE", ""
"UNIVERSIDADE BANDEIRANTE DE SÃO PAULO", "UNIBAN", "SP", "FALSE", ""
"UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA", "UFRB", "BA", "FALSE", ""
"UNIVERSIDADE DE RIO VERDE", "Fesurv", "GO", "FALSE", ""
"UNIVERSIDADE ESTADUAL DE GOIÁS", "UEG", "GO", "FALSE", ""
"UNIVERSIDADE GUARULHOS", "UNG", "SP", "FALSE", ""
"UNIVERSIDADE DE CUIABÁ", "UNIC", "MT", "FALSE", ""
"UNIVERSIDADE ESTADUAL DO PIAUÍ", "UESPI", "PI", "FALSE", ""
"UNIVERSIDADE IBIRAPUERA", "UNIb", "SP", "FALSE", ""
"UNIVERSIDADE ESTADUAL DE ALAGOAS ", "UNEAL", "AL", "FALSE", ""
"UNIVERSIDADE DO GRANDE ABC", "UniABC", "SP", "FALSE", ""
"UNIVERSIDADE ESTADUAL DE RORAIMA", "UERR", "RR", "FALSE", ""
"UNIVERSIDADE DA AMAZÔNIA", "UNAMA", "PA", "FALSE", ""
"UNIVERSIDADE SANTA ÚRSULA", "USU", "RJ", "FALSE", ""
"UNIVERSIDADE IGUAÇU", "UNIG", "RJ", "FALSE", ""
"UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS ", "UNCISAL", "AL", "FALSE", ""
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO", "UNIVASF", "BA", "FALSE", ""
"FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA ", "UNIPAMPA", "RS", "FALSE", ""
"UNIVERSIDADE DO TOCANTINS", "UNITINS", "TO", "FALSE", ""
